days,opening,clossing,ROP,smax,SL,Demand,EOQ
41,2887.428219,2775.927833,940.3239888,6000,104.4804432,111.5003857,
,,,,,,,
42,2800.028272,2712.628326,940.3239888,6000,104.4804432,87.39994646,
,,,,,,,
43,2742.247684,2684.467096,940.3239888,6000,104.4804432,57.78058812,
,,,,,,,
44,3869.898753,3793.063669,940.3239888,6000,104.4804432,76.83508474,
,,,,,,,
45,3718.455553,3567.012352,940.3239888,6000,104.4804432,151.4432005,
,,,,,,,
46,3689.688373,3660.921192,940.3239888,6000,104.4804432,28.76718031,
,,,,,,,
47,3513.513307,3337.338241,940.3239888,6000,104.4804432,176.1750659,
,,,,,,,
48,3396.97179,3280.430273,940.3239888,6000,104.4804432,116.541517,
,,,,,,,
49,3298.456601,3199.941412,940.3239888,6000,104.4804432,98.5151889,
,,,,,,,
50,3202.028653,3105.600704,940.3239888,6000,104.4804432,96.42794824,
,,,,,,,
51,3090.134281,2978.239909,940.3239888,6000,104.4804432,111.8943719,
,,,,,,,
52,2896.356762,2702.579243,940.3239888,6000,104.4804432,193.7775187,
,,,,,,,
53,3635.913698,3540.369388,940.3239888,6000,104.4804432,95.54431029,
,,,,,,,
54,3533.182533,3430.451368,940.3239888,6000,104.4804432,102.7311652,
,,,,,,,
55,3470.036913,3406.891294,940.3239888,6000,104.4804432,63.14561977,
,,,,,,,
56,3395.461177,3320.88544,940.3239888,6000,104.4804432,74.57573655,
,,,,,,,
57,3333.791704,3272.12223,940.3239888,6000,104.4804432,61.66947334,
,,,,,,,
58,3184.382448,3034.973193,940.3239888,6000,104.4804432,149.4092553,
,,,,,,,
59,3134.098227,3083.814005,940.3239888,6000,104.4804432,50.28422172,
,,,,,,,
60,2992.607335,2851.116444,940.3239888,6000,104.4804432,141.4908911,
,,,,,,,
61,2917.437868,2842.268401,940.3239888,6000,104.4804432,75.169467,
,,,,,,,
62,3834.600769,3682.677367,940.3239888,6000,104.4804432,151.9234014,
,,,,,,,
63,3685.932324,3537.263879,940.3239888,6000,104.4804432,148.6684447,
,,,,,,,
64,3591.307483,3496.682641,940.3239888,6000,104.4804432,94.62484135,
,,,,,,,
65,3532.520458,3473.733433,940.3239888,6000,104.4804432,58.78702471,
,,,,,,,
66,3378.371755,3224.223053,940.3239888,6000,104.4804432,154.1487024,
,,,,,,,
67,3283.563303,3188.754851,940.3239888,6000,104.4804432,94.80845204,
,,,,,,,
68,3054.636914,2825.710524,940.3239888,6000,104.4804432,228.9263898,
,,,,,,,
69,2985.938085,2917.239255,940.3239888,6000,104.4804432,68.69882903,
,,,,,,,
70,2788.247741,2590.557397,940.3239888,6000,104.4804432,197.6903438,
,,,,,,,
71,3586.186823,3513.726673,940.3239888,6000,104.4804432,72.46014956,
,,,,,,,
72,3422.064093,3257.941364,940.3239888,6000,104.4804432,164.1227293,
,,,,,,,
73,3371.685908,3321.307722,940.3239888,6000,104.4804432,50.37818556,
,,,,,,,
74,3262.819508,3153.953109,940.3239888,6000,104.4804432,108.8663996,
,,,,,,,
75,3182.881635,3102.943761,940.3239888,6000,104.4804432,79.93787337,
,,,,,,,
76,3021.60897,2860.336304,940.3239888,6000,104.4804432,161.2726652,
,,,,,,,
77,2964.432761,2907.256552,940.3239888,6000,104.4804432,57.17620877,
,,,,,,,
78,2895.037687,2825.642613,940.3239888,6000,104.4804432,69.39507369,
,,,,,,,
79,2856.46941,2817.901133,940.3239888,6000,104.4804432,38.5682772,
,,,,,,,
80,3819.033017,3662.783446,940.3239888,6000,104.4804432,156.2495708,
,,,,,,,
81,3714.934575,3610.836133,940.3239888,6000,104.4804432,104.0984416,
,,,,,,,
82,3593.142618,3471.350661,940.3239888,6000,104.4804432,121.7919567,
,,,,,,,
83,3504.272926,3415.403234,940.3239888,6000,104.4804432,88.86969199,
,,,,,,,
84,3415.529491,3326.786056,940.3239888,6000,104.4804432,88.74343499,
,,,,,,,
85,3186.629805,2957.730119,940.3239888,6000,104.4804432,228.8996859,
,,,,,,,
86,3036.556997,2886.48419,940.3239888,6000,104.4804432,150.0728079,
,,,,,,,
87,3002.375402,2968.193807,940.3239888,6000,104.4804432,34.18159532,
,,,,,,,
88,2814.353161,2626.330921,940.3239888,6000,104.4804432,188.0222408,
,,,,,,,
89,3561.847346,3423.374548,940.3239888,6000,104.4804432,138.4727983,
,,,,,,,
90,3483.776932,3405.706518,940.3239888,6000,104.4804432,78.0704142,
,,,,,,,
91,3430.630834,3377.484736,940.3239888,6000,104.4804432,53.14609814,
,,,,,,,
92,3144.298963,2857.967092,940.3239888,6000,104.4804432,286.3318713,
,,,,,,,
93,2964.940229,2785.581495,940.3239888,6000,104.4804432,179.3587339,
,,,,,,,
